threatTypes,tags,name,description,confidence,revoked,validFrom,validUntil,tlpLevel,severity,observableType,observableValue
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,dancevida.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,storage.googleapis.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,copclock.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,safintech.co.id
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,handanswim.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,bath-brew.club
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,housegutters.net.au
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,mennen.org
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,gurugoodsco.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,hopedetectiveservices.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,launchpad.gr
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,dry-cell-1d4c.mullinsdavi.workers.dev
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,epsycho.com.kw
